description_en,LLM_label
"When, where and at what time they play, with the arbitration of Adonai Escobedo González.",Sports
"In the pre-Atl. de San Luis vs Atlas, all you have to know of the date that is scheduled for tomorrow from 22:00 hours at the stadium Alfonso Lastras Ramírez.",Sports
The Senamhi warned that this phenomenon will hit several regions of the country between 18 and 20 October.,Sci/Tech
The model of Indian origin regretted not being able to represent Persia and asked for empathy in the complex context that his team passes through.,Sports
"The quote of the blue dollar, today Thursday, October 16 in the country of Argentina is $1445 buy and $1465 the sale.",Sci/Tech
Families of oncological patients are worried about discharge because they don’t know when they will be able to take the pills again.,World
"The discovery occurred in the morning when the authorities interfered with a truck, in whose tower and seat area were found packages of type brick covered with plum tape.",World
Geoff Payne shared a black and white photo of the former One Direction member and dedicated him a message full of nostalgia.,World
"In the framework of the National Disability Day, the Conadis urges authorities and civil society to ensure real conditions of accessibility, employment and education for more than one million Persons with Disabilities.",World
"A 25-year-old woman is accused of doping and then trying to kill a 16-year-old, who was her sentimental partner, with cuts and shocks.",Sci/Tech
"The dollar has accumulated a strong decline in the past few weeks and is at its lowest level in the year.Analysts explain how the Fed’s decisions, U.S. economic policy and solid local foundations strengthen the Peruvian sun.",World
"The remains of Miguel Ángel Russo were spread, in a first moment, in 'La Bombonera'.",World
"“I decided to prioritize my emotional well-being,” said singer Alejandra Guerrero, who returned to the cumbia group La Bella Luz after leaving for alleged internal conflicts.",World
"Jorge Fossati expressed his inconvenience for the playback of the duel with Sporting Cristal, which will lead Universitario to play three matches in a week.",Sports
"Rodrigo Noblecilla, the lawyer of the family of Eduardo Ruíz, also pointed out that the victim was not participating in the demonstrations and that they evaluate a complaint against the President of the Council of Ministers, Ernesto Álvarez.",World
